what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1329005069002
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1329005069003
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1329005069003
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1329005069018
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1329005069018
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1329005069019
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1329005069019
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1329005069020
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1329005069021
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1329005069021
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1329005069021
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1329005069022
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1329005069022
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1329005069023
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1329005069023
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1329005069024
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1329005069024
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1329005069025
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1329005069025
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1329005069026
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1329005069026
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1329005069027
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1329005069027
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1329005069028
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1329005069029
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1329005069030
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1329005069030
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1329005069031
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1329005069032
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1329005069032
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1329005069033
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1329005069033
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1329005069034
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1329005069034
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1329005069035
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1329005069035
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1329005069036
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1329005069037
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1329005069039
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1329005069053
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1329005069053
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1329005069054
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1329005069054
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1329005069054
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1329005069055
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1329005069055
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1329005069096
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1329005069097
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1329005069097
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1329005069098
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1329005069098
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1329005069099
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1329005069099
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1329005069139
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1329005069140
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1329005069140
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1329005069141
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1329005069141
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1329005069142
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1329005069162
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1329005069163
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1329005069163
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1329005069163
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1329005069163
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1329005069164
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1329005069165
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329005069165
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1329005069196
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329005069197
os,sysinfo,,,"win32",1329005069200
arch,sysinfo,,,"x86_64",1329005069200
ws,sysinfo,,,"win32",1329005069200
locale,sysinfo,,,"en_CA",1329005069200
processors,sysinfo,,,"8",1329005069200
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329005069200
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1329005069200
java.specification.name,sysinfo,,,"Java Platform API Specification",1329005069200
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329005069200
java.specification.version,sysinfo,,,"1.6",1329005069200
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1329005069200
java.version,sysinfo,,,"1.6.0_26",1329005069200
java.vm.info,sysinfo,,,"mixed mode",1329005069200
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1329005069200
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329005069200
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329005069200
java.vm.specification.version,sysinfo,,,"1.0",1329005069200
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1329005069200
java.vm.version,sysinfo,,,"20.1-b02",1329005069200
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329005069222
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329005069244
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1329005069284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005072531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005087355
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1329005087363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005089329
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005521046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005525213
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1329005543261
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1329005543279
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1329005543858
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1329005543861
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1329005543864
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1329005544145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005544249
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1329005544262
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1329005545571
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1329005545592
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1329005549216
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1329005549850
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1329005559761
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1329005564854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005595024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005615380
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1329005617020
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1329005617026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005621756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005629366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005631457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005672532
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1329005681694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005685502
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1329005689250
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1329005689386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005690153
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.move.element",1329005690159
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329005693492
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329005693801
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1329005694094
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1329005698699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005700828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005708117
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329005708133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005710078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005713579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005715620
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1329005721540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005721884
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329005722090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329005722189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005724307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005727610
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329005727636
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005730382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005735815
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329005735959
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329005736050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005737633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005740346
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329005740362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005742158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005743431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005746747
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005751076
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329005751137
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329005751228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005752716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005755663
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329005755678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329005758199
